"tensor(4.0557, grad_fn=<AddBackward0>)"
"tensor(3.7370, grad_fn=<AddBackward0>)"
"tensor(3.7944, grad_fn=<AddBackward0>)"
"tensor(3.9685, grad_fn=<AddBackward0>)"
"tensor(4.1780, grad_fn=<AddBackward0>)"
"tensor(3.4951, grad_fn=<AddBackward0>)"
"tensor(4.0580, grad_fn=<AddBackward0>)"
"tensor(3.9189, grad_fn=<AddBackward0>)"
"tensor(3.9541, grad_fn=<AddBackward0>)"
"tensor(4.2648, grad_fn=<AddBackward0>)"
"tensor(4.1904, grad_fn=<AddBackward0>)"
"tensor(3.9468, grad_fn=<AddBackward0>)"
"tensor(4.2984, grad_fn=<AddBackward0>)"
"tensor(4.1011, grad_fn=<AddBackward0>)"
"tensor(3.7392, grad_fn=<AddBackward0>)"
"tensor(4.0202, grad_fn=<AddBackward0>)"
"tensor(3.8792, grad_fn=<AddBackward0>)"
"tensor(4.0351, grad_fn=<AddBackward0>)"
"tensor(4.3780, grad_fn=<AddBackward0>)"
"tensor(3.5402, grad_fn=<AddBackward0>)"
"tensor(3.9533, grad_fn=<AddBackward0>)"
"tensor(4.1437, grad_fn=<AddBackward0>)"
"tensor(3.3076, grad_fn=<AddBackward0>)"
"tensor(3.7165, grad_fn=<AddBackward0>)"
"tensor(4.2094, grad_fn=<AddBackward0>)"
"tensor(3.4804, grad_fn=<AddBackward0>)"
"tensor(4.2208, grad_fn=<AddBackward0>)"
"tensor(3.4352, grad_fn=<AddBackward0>)"
"tensor(3.9704, grad_fn=<AddBackward0>)"
"tensor(3.9361, grad_fn=<AddBackward0>)"
"tensor(3.9937, grad_fn=<AddBackward0>)"
"tensor(4.1092, grad_fn=<AddBackward0>)"
"tensor(3.5260, grad_fn=<AddBackward0>)"
"tensor(3.7926, grad_fn=<AddBackward0>)"
"tensor(3.6413, grad_fn=<AddBackward0>)"
"tensor(4.0219, grad_fn=<AddBackward0>)"
"tensor(4.2442, grad_fn=<AddBackward0>)"
"tensor(3.9116, grad_fn=<AddBackward0>)"
"tensor(3.3549, grad_fn=<AddBackward0>)"
"tensor(3.5417, grad_fn=<AddBackward0>)"
"tensor(3.5036, grad_fn=<AddBackward0>)"
"tensor(4.0189, grad_fn=<AddBackward0>)"
"tensor(3.6294, grad_fn=<AddBackward0>)"
"tensor(3.9259, grad_fn=<AddBackward0>)"
"tensor(3.7889, grad_fn=<AddBackward0>)"
"tensor(4.1054, grad_fn=<AddBackward0>)"
"tensor(3.6622, grad_fn=<AddBackward0>)"
"tensor(3.6360, grad_fn=<AddBackward0>)"
"tensor(3.4115, grad_fn=<AddBackward0>)"
"tensor(3.6508, grad_fn=<AddBackward0>)"
"tensor(3.8991, grad_fn=<AddBackward0>)"
"tensor(3.4992, grad_fn=<AddBackward0>)"
"tensor(3.8465, grad_fn=<AddBackward0>)"
"tensor(3.4775, grad_fn=<AddBackward0>)"
"tensor(4.8273, grad_fn=<AddBackward0>)"
"tensor(3.8638, grad_fn=<AddBackward0>)"
"tensor(4.2921, grad_fn=<AddBackward0>)"
"tensor(4.1808, grad_fn=<AddBackward0>)"
"tensor(3.4449, grad_fn=<AddBackward0>)"
"tensor(3.5318, grad_fn=<AddBackward0>)"
"tensor(3.7587, grad_fn=<AddBackward0>)"
"tensor(4.0158, grad_fn=<AddBackward0>)"
"tensor(3.6432, grad_fn=<AddBackward0>)"
"tensor(3.6503, grad_fn=<AddBackward0>)"
"tensor(3.9502, grad_fn=<AddBackward0>)"
"tensor(3.8932, grad_fn=<AddBackward0>)"
"tensor(4.1284, grad_fn=<AddBackward0>)"
"tensor(4.2341, grad_fn=<AddBackward0>)"
"tensor(3.7249, grad_fn=<AddBackward0>)"
"tensor(4.3954, grad_fn=<AddBackward0>)"
"tensor(3.5923, grad_fn=<AddBackward0>)"
"tensor(4.0674, grad_fn=<AddBackward0>)"
"tensor(3.8982, grad_fn=<AddBackward0>)"
"tensor(4.0417, grad_fn=<AddBackward0>)"
"tensor(4.3250, grad_fn=<AddBackward0>)"
"tensor(3.9839, grad_fn=<AddBackward0>)"
"tensor(3.7451, grad_fn=<AddBackward0>)"
"tensor(4.0777, grad_fn=<AddBackward0>)"
"tensor(3.8839, grad_fn=<AddBackward0>)"
"tensor(3.8308, grad_fn=<AddBackward0>)"
"tensor(4.0481, grad_fn=<AddBackward0>)"
"tensor(3.8968, grad_fn=<AddBackward0>)"
"tensor(3.9238, grad_fn=<AddBackward0>)"
"tensor(3.5101, grad_fn=<AddBackward0>)"
"tensor(3.6947, grad_fn=<AddBackward0>)"
"tensor(3.9345, grad_fn=<AddBackward0>)"
"tensor(3.4041, grad_fn=<AddBackward0>)"
"tensor(4.1521, grad_fn=<AddBackward0>)"
"tensor(4.4797, grad_fn=<AddBackward0>)"
"tensor(3.3037, grad_fn=<AddBackward0>)"
"tensor(4.1019, grad_fn=<AddBackward0>)"
"tensor(4.3498, grad_fn=<AddBackward0>)"
"tensor(3.9090, grad_fn=<AddBackward0>)"
"tensor(3.5764, grad_fn=<AddBackward0>)"
"tensor(3.8114, grad_fn=<AddBackward0>)"
"tensor(3.9515, grad_fn=<AddBackward0>)"
"tensor(3.5040, grad_fn=<AddBackward0>)"
"tensor(4.2036, grad_fn=<AddBackward0>)"
"tensor(3.6535, grad_fn=<AddBackward0>)"
"tensor(3.4014, grad_fn=<AddBackward0>)"
"tensor(3.7381, grad_fn=<AddBackward0>)"
"tensor(3.9082, grad_fn=<AddBackward0>)"
"tensor(3.2642, grad_fn=<AddBackward0>)"
"tensor(4.0091, grad_fn=<AddBackward0>)"
"tensor(3.8828, grad_fn=<AddBackward0>)"
"tensor(3.5438, grad_fn=<AddBackward0>)"
"tensor(3.6385, grad_fn=<AddBackward0>)"
"tensor(3.8232, grad_fn=<AddBackward0>)"
"tensor(4.0666, grad_fn=<AddBackward0>)"
"tensor(3.7486, grad_fn=<AddBackward0>)"
"tensor(4.2948, grad_fn=<AddBackward0>)"
"tensor(3.8264, grad_fn=<AddBackward0>)"
"tensor(3.8781, grad_fn=<AddBackward0>)"
"tensor(4.1823, grad_fn=<AddBackward0>)"
"tensor(3.8746, grad_fn=<AddBackward0>)"
"tensor(3.3943, grad_fn=<AddBackward0>)"
"tensor(3.6412, grad_fn=<AddBackward0>)"
"tensor(3.5538, grad_fn=<AddBackward0>)"
"tensor(4.0935, grad_fn=<AddBackward0>)"
"tensor(3.8632, grad_fn=<AddBackward0>)"
"tensor(3.5937, grad_fn=<AddBackward0>)"
"tensor(3.8991, grad_fn=<AddBackward0>)"
"tensor(3.0374, grad_fn=<AddBackward0>)"
"tensor(4.1047, grad_fn=<AddBackward0>)"
